State/UT,District,Percent total literate Population (Age 7 +) ,Percent literate Male Population (Age 7+) ,Percent literate Female Population (Age 7+) ,Percent girls (age 6-11) attending Schools,Percent boys (age 6-11) attending Schools,Have Electricity connection (%),Have Access to toilet facility (%),Use piped drinking water (%),Use LPG for cooking (%),Live in a pucca house (%),Own a house (%),Have a BPL card (%),Own Agriculture Land (%),Have a television (%),Have a mobile phone (%),Have a Motorized Vehicle (%)
Andaman and Nicober Island, North & Middle Andaman  ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andaman and Nicober Island, South Andaman  ,88,89.8,86.2,99.1,100,87.4,76.4,75.8,39.5,46.6,82,20.8,28.8,74.5,64.6,28.9
Andhra Pradesh,Adilabad,51,61.8,40.5,97.2,98.4,82,9.1,24.9,7.9,6,97.1,92.3,61.2,30.9,21.8,8.5
Andhra Pradesh,Anantapur,54.2,63.8,44.7,95.9,99.3,92.7,20.2,88.2,9,59.6,95,94.6,60.5,52.6,22.5,7.8
Andhra Pradesh,Chittoor,61.5,73.1,50,96.8,99,90.9,22.5,82.5,13.1,50.4,95.5,92.5,50.5,54.5,24.4,12.3
Andhra Pradesh,East Godavari,66.2,68.8,63.6,98.9,98.7,90.6,38.6,51.7,17.2,24.6,92.9,87.5,21.3,56,25.6,10.1
Andhra Pradesh,Guntur,58.4,68.4,48.6,97.9,98.8,88.8,39.6,47.8,29.6,40.1,90.3,80.2,38.5,54.5,21.8,10.6
Andhra Pradesh,Hyderabad,82.7,88.8,76.2,99.4,99.1,99.3,96.7,91.6,84.9,72.5,70.5,45.3,4.9,85.5,78.1,53.3
Andhra Pradesh,Kadapa,60.3,73.8,47.2,95.9,98.1,96,24.1,83.3,11.3,51.9,93.6,89.5,48.6,48.5,28.9,9.5
Andhra Pradesh,Karimnagar,56.9,68.8,45.8,99.9,98.5,91.8,25.3,61.9,14.6,22.1,92.5,83.9,45,49.4,33.9,10.7
Andhra Pradesh,Khammam,51,59.7,42.2,99.6,98.6,84.2,23.5,46.2,7.6,23.1,96,87.3,48.7,44.5,20.1,6.3
Andhra Pradesh,Krishna,65.6,70.8,60.5,99.3,99.5,93.3,45.3,65,26.4,34.6,89.6,88.2,24.5,60.9,23.9,11.4
Andhra Pradesh,Kurnool,48.6,60.5,36.7,94.8,97.9,93.1,21.8,66.5,9.7,45.4,91.7,91.5,57.3,51.4,27.3,9.2
Andhra Pradesh,Mahbubnagar,46.1,56.6,35.3,96.8,97.5,89,14.3,78.1,5,47.9,97.1,96.8,70.7,40.3,26.9,10.9
Andhra Pradesh,Medak,52.7,63.9,41.7,97.5,97.2,88,24.1,73.1,11.9,18.5,95.6,94.7,68.2,43.3,33.7,10.5
Andhra Pradesh,Nalgonda,57.8,70,45.1,96.5,96.5,89.3,22.8,62.9,11.4,42.1,94.5,90.5,49.4,50.6,36.1,10.9
Andhra Pradesh,Nellore,61.7,70.6,52.8,99.3,97.1,90.1,28.4,59,13.3,49.3,93.8,85.7,40.9,55.2,26.4,9.9
Andhra Pradesh,Nizamabad,52.1,63.2,41.7,98,98.9,94.8,27.1,90.1,19,21.1,91.8,88.7,47.4,47.5,33.5,9.9
Andhra Pradesh,Prakasam,57.1,67.7,46.6,95.2,98.6,89.4,31.3,40.5,20.8,52.2,90.5,76.6,50.1,53.7,22.1,11
Andhra Pradesh,Rangareddy,63.1,74.4,51.3,100,100,95.4,46.9,68.5,29.1,42.2,88.9,86.3,47.3,63.9,52.4,26.4
Andhra Pradesh,Srikakulam,56.4,66.9,46.5,96.2,99.7,86,12.4,9.4,10.3,46.6,94.4,91.8,52.4,37.6,16.3,6.8
Andhra Pradesh,Visakhapatnam,40,54.3,26.1,94.6,93.2,68.2,2.6,16.1,0.6,8.1,95.5,95.4,75.8,13,4.6,2.6
Andhra Pradesh,Vizianagaram,50,60.2,40.2,95.3,96.4,74.9,8,30.7,7.4,27.2,96.3,92.2,49.4,34.1,13.1,6.5
Andhra Pradesh,Warangal,58.5,70,47.2,99.5,98.7,93.3,28.9,73.2,13.9,21.1,92.2,91.7,46.4,43.9,30.2,8.6
Andhra Pradesh,West Godavari,65.4,70.1,60.5,96.4,97.8,92.1,49.9,79.8,19.2,28.1,88.4,89.4,22.9,58.1,23.9,10.6
Arunachal pradesh,Anjaw,74.3,80.9,66.3,100,100,97.5,82.4,95.4,27.2,11.2,98.9,21.4,43.3,57.2,32.1,24.3
Arunachal pradesh,Changlang,74.7,80.8,67,99.6,99.6,85.9,91.9,60.7,19.8,1.9,99.1,10,65.5,67.5,40.3,22.7
Arunachal pradesh,Dibang Valley,77.9,80.6,75,99.6,100,99.8,98.7,100,19.9,17.8,94.7,29.6,36.2,82.1,57.3,23.7
Arunachal pradesh,East Kameng,67.1,71.6,61.4,100,99.8,72,66.3,61.6,4.3,1.6,99.7,19.3,36.4,20.1,11.1,7.6
Arunachal pradesh,East Siang ,76.9,81.9,71.2,99.8,99.8,81.4,78.4,72.2,12.5,6.7,90.6,18.7,52.1,55.3,37,27.5
Arunachal pradesh,Kurung Kumey,77.9,82.4,71.5,98.8,96,94.1,81.4,86.2,6.9,2.5,98.2,31.9,54.9,62,13.1,16.9
Arunachal pradesh,Lohit,76.7,81.3,71,99.3,100,97.5,96.6,66.5,16.6,2.9,97.5,22.3,62.7,66.4,31.5,23.6
Arunachal pradesh,Lower Dibang Valley,74.6,77.9,71.1,100,100,99.6,96.2,91,6,3.3,97.9,23.8,80.5,67.6,33,15.5
Arunachal pradesh,Lower subansiri,77.7,82.2,72.1,98.8,98.1,93.2,87.3,92.2,19.7,5.3,97.7,20.9,46.2,66.9,21.3,26.2
Arunachal pradesh,Papum pare,78.4,83.6,72.1,100,100,98.6,79.9,84.9,38,17.1,93,29.9,48.3,64.6,47.8,29
Arunachal pradesh,Tawang,65.4,70.7,59.6,100,100,97.6,72.2,88.8,38.7,9.8,98.1,10.5,52.8,69.8,34.4,18.3
Arunachal pradesh,Tirap,77.4,81,72.7,100,100,99.1,85.6,86.3,16.5,1.7,97.8,26,68.1,69.1,25.1,17.3
Arunachal pradesh,Upper Siang,65.9,69.6,61.5,100,99.6,90.6,84.3,96.6,2.6,2.6,97.8,14.5,78.2,27.2,11,7
Arunachal pradesh,Upper subansiri,81.2,83.7,77.8,96.4,94.8,89.6,75.4,70.8,9.7,1.3,97.1,20.4,43.5,51.4,10.4,14.4
Arunachal pradesh,West Kameng,76.6,81.3,70.8,99,99.6,96.8,89.7,96,42,10.4,98.6,7.4,40,77.3,43.6,26.6
Arunachal pradesh,West Siang,76.7,81.7,70.1,94.2,89.9,65.7,68.5,74.6,14.3,4.2,92.7,10.5,44.3,38.3,24.5,16.9
Assam,Barpeta,73.5,79.8,66.5,99.6,98.6,22.5,71.3,1.3,10.5,0.9,97.6,29,48.1,14.9,23.5,6.9
Assam,Baska,79.2,84.5,73.1,99,99.5,30.9,59.5,1.4,6.2,2.9,98.4,26.6,66.2,21.7,18.7,5.6
Assam,Bongaigaon,69.5,77.1,61,99.3,98.5,19.9,54.5,1.4,6.6,1.6,98.1,24.2,47.6,16.5,27.1,7.1
Assam,Cacher,78,85.1,71.2,97.6,98,30,85.5,28.9,4.7,2.4,99,27.2,48.7,26.2,23,7.7
Assam,Chirang,69,76.2,60.7,97,97.2,13.6,29.1,0.5,5.2,1.3,99.4,32.8,61.9,12.3,17.8,5.4
Assam,Darrang,75.4,81,69,99.7,98.4,19,55.2,1,4,1.8,99.6,28.6,66,14.2,19.4,4.7
Assam,Dhemaji,76.5,84,68.6,98.7,98.6,16.1,48.2,1.4,5.6,2.2,98.7,19.8,74.8,15.7,20.1,6.3
Assam,Dibrugarh,78.4,85.8,70.6,97.6,98.3,32.5,78,2.2,10.2,2.5,94.4,19,59.7,36.3,26.5,11.6
Assam,Dubri,67.2,72.8,61,97.6,96.3,17,45,2.3,4.9,4.7,97.1,23.6,47.5,11.4,13.5,4.1
Assam,Goalpara,77.3,82.1,71.9,99.2,98.2,27.5,63.6,1.6,4.9,2.9,99.6,18.5,48.7,20.1,21,6.5
Assam,Golaghat,76.2,83.2,68.9,98,98.3,23.4,75.3,7.8,6,5.8,97.5,31.6,65.3,28.6,24.5,8.9
Assam,Hailakandi,78.7,85.2,72.2,98.6,98.5,27.8,96.1,16.4,2.4,1.6,97.7,26.3,44,13.9,21.8,4
Assam,Jorhat,83.1,89.3,76.6,98.3,99.3,38.3,64.4,17.5,15,4.6,93.2,13,64.3,32.5,28.6,15
Assam,Kamrup,83.5,89.5,76.7,100,98.7,42.8,73.6,3.6,14.8,8.3,99.3,22,67.6,33.2,29.9,9.3
Assam,Kamrup metro,81.8,86.5,76.8,98.4,98.5,50,72.8,10.6,25.8,12.7,98.3,21.2,39,42.2,38.1,13.4
Assam,Karbianglong,84.4,88.5,79.2,99.7,99.5,61.1,82.3,11.8,15.3,4.6,96.3,9.3,56.1,49.3,33.4,13
Assam,Karimganj,75.5,81.1,70.4,98.4,97.9,22,84.4,8.9,3.9,2.2,97.9,29.3,44.2,14.1,19.4,2.8
Assam,Kokrajhar,66.2,72.7,59.3,99,98.5,27.5,33.8,1.1,6,2.2,99.1,30.5,57.2,15.4,16.6,5.1
Assam,Likhimpur,78.6,85.6,71.1,98.4,98.2,21.3,59.6,2.6,8,4.3,94.8,27.7,67.8,20.3,27.2,10.8
Assam,Marigaon,78.2,83.1,72.5,99.1,97.8,30.9,66.8,2.2,10.5,5.5,98.2,22.2,58,19.8,21.3,8.6
Assam,Nagaon,77.7,82.4,72.7,99,98.3,34.2,72.5,5.7,9.8,2.3,94.3,26.2,51,25,25,8.4
Assam,Nalbari,82.3,88.8,75,99,99,40.2,66.8,2.9,17.7,6,99.4,30,42.7,28.3,28,9.5
Assam,North Cachar Hills,82.6,89.1,74.9,99.3,99.6,66.2,94.1,21.7,16,1.1,96.5,7.8,42.4,39.1,34.9,11.6
Assam,Sibsagar,85.3,90.2,80.1,98.1,97.9,45.1,79.3,8.5,15.4,5.2,94,21.9,67.8,36,36.4,15.4
Assam,Sonitpur,70.8,78.4,62.7,97.1,98.5,32,64.9,6,10.9,1.3,89.1,20.5,43.8,22.4,21.7,9.4
Assam,Tinsukia,69.5,80.5,58,97.1,95.3,33.4,80.1,1.8,6.2,1.7,86.4,13.2,53.6,28.9,20,6.1
Assam,Udalguri,72.3,79.2,65,97.6,97.2,27.9,54.5,2.3,1.8,1.6,94.6,24.3,53.1,20.8,24.4,4.9
Bihar,Araria,49.7,61.3,38.4,97.7,99.4,3.3,4.3,0.1,0.1,4.5,95.9,19.9,49.4,7.3,9.8,4.7
Bihar,Aurangabad,66.9,81.4,53,99.3,99.4,8.5,11,1.8,0.6,15.3,98.9,32,65.9,5.4,17.7,5.5
Bihar,Banka,50.8,65.9,36.8,97.8,99.2,11.1,6.2,0.1,0.1,9.2,99,26.8,68.8,4.2,12.1,4.1
Bihar,Begusarai,58.4,71.9,45.6,99.6,98.7,22.6,23.1,0,1.3,12,98.7,27.9,28.5,7.3,12.3,4.1
Bihar,Bhagalpur,56.7,67.2,45.2,99,98,36.9,18.3,2.5,2.1,18.6,98.1,11.4,49.4,15.8,17.5,6.6
Bihar,Bhojpur,65.5,81.6,49.1,98.7,98.3,12.8,14.6,0.8,2.3,21.7,95.5,34.3,50.8,13.1,18.4,6.2
Bihar,Buxar,66.9,81.4,52.1,97.2,98.2,18.7,11.7,1.1,2.7,20.2,96.3,35.5,52,12.5,21.3,8.4
Bihar,Darbhanga,54.7,70.4,40.6,98.3,99.7,21.7,14.2,0.1,1.8,9.6,98.3,153,30.7,6.6,15.5,3.3
Bihar,Gaya,55.5,70.8,41.3,97.7,98.8,15.2,13,0.3,1.4,9.5,98.4,27.1,63.5,5.7,11,4.7
Bihar,Gopalgunj,61.9,77.3,47.3,99.8,100,22.7,12.2,0.1,2.8,25.4,98.6,19.6,73.3,9.9,26.2,8.2
Bihar,Jamui,50.8,68.4,34,98.2,99.3,8.9,3.4,0,0.5,5.2,98.4,32.8,78,3.6,9.7,4.7
Bihar,Jehanabad,65.2,80.1,51.2,99.4,99.5,18.6,18.9,0.7,1.1,11.5,99.2,27.9,53.5,10.1,17.6,5.6
Bihar,Kaimur,67.1,80.5,53.7,99.5,98.7,34.3,9.8,2.4,1.3,14.5,98.9,23.8,56.7,12.3,16.9,10.3
Bihar,Katihar,47.2,58.6,36.2,98.9,97.5,4,9.6,0.2,0.2,2,97.6,30,44.2,4.8,5.8,3.2
Bihar,Khagaria,54.1,67.5,41.2,99.3,97.8,20.2,15.6,0.1,1.4,6.9,98.4,29.3,43.2,5.7,11.5,3.8
Bihar,Kishangunj,52,63.6,41,99.5,99.2,7.5,5.6,0.3,0.3,3.6,98.7,44.8,40.7,6.3,7,3
Bihar,Lakhisarai,57,71.9,43.1,99,99.5,31,18.3,0.9,2.8,19.2,99,30.2,54.2,9.3,16,4
Bihar,Madhepura,49.7,65.4,34.8,98.5,99,6.5,8.4,0.2,1.4,5.2,98.8,28.5,49.7,4.2,14.4,4.5
Bihar,Madhubani,53.1,69.5,40.1,97.7,98.6,17.8,12.1,0.7,2.2,9,98.6,25.5,49.9,6.4,14.2,4.9
Bihar,Munger,65.8,76.9,54.7,98.8,99.6,43.1,25.5,0.3,3.5,15.9,97.9,28.2,43.4,18.6,21.9,6.9
Bihar,Muzaffarpur,57.8,68,47.9,97.4,99.2,20.7,15.8,0.1,3.1,15.2,98.4,25.9,47.3,10.1,16.6,6.3
Bihar,Nalanda,59.6,74.4,45.8,99.4,99.2,25.5,21.7,0.4,2.6,23,99.5,29.7,60.7,12.7,18.2,4.1
Bihar,Nawada,55.1,69.4,43,99.1,98.2,9.8,12.7,0.9,0.8,21.4,98.1,29.3,63.6,3.8,12.6,2.9
Bihar,Paschim Champaran,50.4,63.7,37.7,98,99,7,8.2,0.3,1.1,5.9,99.3,29.1,50.2,4.7,10.9,3.7
Bihar,Patna,64.8,78.8,50.5,98.4,98.1,42.9,23.6,4.1,5.8,17.7,95.2,38,58.7,22.7,18.4,8
Bihar,Purba Champaran,54.4,68.7,41.1,99.1,98.8,10.3,9.2,0.2,1.7,9.1,99.7,20.8,50.3,5.8,15.6,5.2
Bihar,Purnia,46.5,58.7,34.7,99.2,99.4,15,8.7,0,0.6,6.3,97.3,23.3,42.5,6.8,9.8,3.9
Bihar,Rohtas,67.8,80.6,54.7,99.4,99.7,32.5,14.5,0.6,2.1,17.8,97.3,22.8,57.1,10.6,21.6,7.2
Bihar,Saharsa,45.7,62.7,31.1,98.9,98.6,22.3,8.8,0.3,1.6,8.5,98.7,26.6,48.4,7.7,14.3,4.7
Bihar,Samastipur,58.9,71.9,46.9,99.2,98.3,13.8,12.3,0.1,0.3,6.2,98.8,20.3,41.5,4.7,10.7,4.4
Bihar,Sapaul,51.8,70.4,33.8,97.3,98.7,15.3,6.1,0.1,0.5,4.2,97.6,31.3,53.9,6,12.4,4.3
Bihar,Saran,64.1,79.3,50,99.3,98.2,12.3,12.3,0.4,2.1,11.1,98.9,20.8,61.2,13.5,23.4,9
Bihar,Sheikhpura,58.4,73.6,44.1,96.1,98.3,32.9,19.8,3.4,1.6,20.3,99.1,29.6,60.8,10.2,15.6,5.3
Bihar,Sheohar,45,57.7,33.6,97.1,98.5,13.5,13.7,0,0.6,6.2,98.8,32.2,39.5,5.4,11.7,3.1
Bihar,Sitamarhi,46.2,58.1,35.4,98.6,97.6,15.9,12.1,0.1,1.2,9.3,98.5,24.7,43.4,5.1,10.2,3
Bihar,Siwan,67.6,79.3,56.9,100,100,13,18.2,0.1,3.6,22.8,99.2,15.7,49.2,10.5,25.4,8.8
Bihar,Vaishali,66.1,79.8,53,98.7,98.5,23,18.5,0.7,4.4,12.6,98.6,33.5,55.7,14.2,18,7.9
Chandigarh,Chandigarh,78.2,81.9,73.5,99.9,100,99,98.8,91.1,74.4,97,67.8,1,6.2,91.6,71.5,42.6
Chhattigarh,Bastar,48.3,59.4,37.2,98.4,97.6,41.1,15,1.4,1,2,98.4,73.4,80.6,7.6,3.4,6.8
Chhattigarh,Bilaspur,61.3,75.7,47.1,97.2,98.1,81.9,8.5,3.4,0.5,4.1,98.9,69.5,69.8,23,7.6,5.8
Chhattigarh,Dantewara,38.4,49,28.1,95.5,97.9,49.3,3.7,0.5,3.6,3.4,99.7,69.3,75.9,11.2,6.4,6.4
Chhattigarh,Dhamtari,74.5,86.1,63.1,99.5,98,85,15.9,8.3,2.6,7.7,96.8,58.6,66.5,34.4,6.5,13.5
Chhattigarh,Durg,72.6,85.4,59.9,97,97.9,84.1,8.6,7.8,0.5,8.3,97.8,50.1,77.5,38.7,7.6,13.2
Chhattigarh,Janjgir,69.1,83.1,55.4,99.5,98.3,92.5,11.3,3.7,2.2,9.4,97.2,59.5,74.7,34.5,10.6,12.6
Chhattigarh,Jashpur,66.7,76.8,56.7,98.8,97.8,29.9,4.6,0.6,1.1,1.3,99,53,84.1,8.3,5,6.2
Chhattigarh,Kanker,65.4,76.8,54.3,97.2,96.7,58.6,13.2,2.6,0.7,2.5,98.9,62.8,82.9,16,5.2,7.9
Chhattigarh,Kawardha,54.5,68.3,40.6,95.1,97.6,76.9,4.1,2.5,0.3,3.9,99,66.5,75.2,16.6,4.1,8.4
Chhattigarh,Korba,60,73.8,46.4,97.3,96.3,63.7,12.4,1.4,0.5,2.2,98.1,77,70.6,17,3.3,6.9
Chhattigarh,Koriya,59.4,73.1,45.3,97.7,97.9,32.9,6.4,2.9,1.6,1.8,99.4,58.7,73.8,8.2,4.6,7.8
Chhattigarh,Mahasamund,66.8,79.2,54.7,98.8,95.5,79.3,7.9,2.7,1.6,4.2,97.9,55.9,69.5,24.3,6.9,11.3
Chhattigarh,Raigarh,66.6,77.2,56,99.7,98.8,87.1,8.2,8.1,2.1,5.3,98.2,68.7,66.5,29.4,6.4,11.1
Chhattigarh,Raipur,66.2,79.6,52.6,96.6,96.9,77.2,6.4,6.9,2.8,10.9,97.6,55.2,73.6,33.8,7.3,10.9
Chhattigarh,Rajnand Gaon,66.9,78.3,56.2,99,99,84.2,11.6,4.9,1.3,2.7,98.6,54.2,80.9,20.6,2.3,5.9
Chhattigarh,Sarguja,56,67.9,43.5,98.1,98.1,47,14.6,1.9,3.5,2.6,99.3,68.7,79.4,14.1,7.2,9.8
Dadra & Nagar Haveli,Dadra & Nagar Haveli,64.8,75.6,52.7,95.7,97.3,95.1,26.4,46.5,16.3,14.3,89.3,40.7,59.7,42,28.6,20.7
Daman and Diu,Daman ,84.5,90.9,75.4,99.4,98.9,99.5,61.3,66.7,39.6,27.5,81.1,19.4,41.9,62.3,54.7,36.9
Daman and Diu,Diu,70.7,81.8,59.9,100,99.1,99.3,43,94.2,26,62.9,86.2,17,32.6,69.5,54.9,31.6
Delhi,Central,NA,91,85.5,100,99.8,98.7,97,92.7,89.9,92.8,82.6,18.3,9,89.9,82.6,44.9
Delhi,East,NA,91.3,80.3,98.7,98.9,98.4,93.8,83.6,88.6,94.1,88.9,21.1,16.6,83.9,80,42.5
Delhi,New Delhi,NA,93.2,81.2,98.4,99.5,99.9,91.1,95,88.1,73.6,79,4.9,27.7,84.5,82.4,38.6
Delhi,North Delhi,64.5,69.9,58.6,94.9,100,59.4,71.1,18.9,53,58.3,96.4,7.2,31.8,54.7,65.5,25
Delhi,North East,81.7,86.2,76.2,100,95.3,98.1,94.6,69.5,62.6,86.1,83.8,32.8,41.8,74,58.4,32.7
Delhi,North West,84.7,92.2,75.9,96,100,97.3,79.8,58.5,77.9,68.6,95.9,41.8,36.1,79,79.6,33.8
Delhi,South,83,89.5,75.4,100,100,97.2,94.2,76.6,79.1,85.9,94.2,27.3,20.1,74.2,76,35.3
Delhi,South West,80.3,88.3,71.2,95.8,95.8,100,48.7,41,60.2,54.7,94.3,31.8,42.2,85,72.7,29
Delhi,West,79.6,89.5,66.2,100,100,97.7,92.8,79.1,73.2,73.9,85.6,2.3,16.4,66.2,54,20.8
Goa,North Goa,86.8,93.2,80.9,99.6,100,98.4,71.3,74,52.8,33.9,95.4,12.9,30.3,76.5,61.7,51.6
Goa,South Goa,84.7,92.6,76.8,100,100,96.4,81,78.1,56.5,47.7,95.5,7.3,17,75.1,65.3,53
Gujrat,Ahmedabad,66.7,79.7,52.5,99.5,100,93.8,22.2,70.1,6,32.1,98.2,24.1,56.7,50.9,30.4,16.7
Gujrat,Amreli,71.2,80.7,61.9,98.2,99,93.3,45.1,72.4,16.7,38.4,96.9,27.9,53.4,48.1,56,35.5
Gujrat,Anand,79.6,89.9,68.9,98.1,100,87.3,48.4,90.7,23.5,33.1,92.8,38.9,41.8,45.4,36.6,17.1
Gujrat,Banaskantha,60.4,74.2,46,97.4,96.4,69.8,15.5,60.2,5.3,25.5,95.5,28.2,60.5,17.7,30.8,9.7
Gujrat,Bharuch,73.3,82.6,63.9,98.3,97.9,91.9,34.3,71.1,15.1,26.7,98,42.2,41.9,39.3,31.5,21.3
Gujrat,Bhavnagar,67.7,78.9,56.5,96.7,99.2,94.6,30.7,79.6,9.1,31.6,97.5,25.1,50,49.3,46.4,30.1
Gujrat,Dahod,57.8,71.1,45.2,97.1,97,61,9.5,3,3.3,8.6,99,32.5,91.9,12.2,31.2,12.3
Gujrat,Gandhinagar,77.7,89.4,65.6,93.4,97.5,91.4,49.7,91.6,25.9,48.1,95.1,30.1,57.1,50.9,40.7,24.7
Gujrat,Jamnagar,66.8,76.9,56.2,98.6,97.6,91.3,29.2,65.3,9.2,57.5,95.7,21,57.1,51.7,56.8,41
Gujrat,junagadh,70.9,81,60.7,98.7,96.9,95.7,48.6,69.4,11.1,46.5,94,27.9,54.1,52.3,47.8,30.8
Gujrat,Kachchh,56.4,68.2,44.3,95,97.6,86.3,33,73.4,6.7,27.3,91.9,36.8,39,42.6,48.3,18.6
Gujrat,Kheda,79.2,92,65.7,98.2,99.4,85.2,41.1,68.5,18.7,37.2,96.8,33.2,65.1,44.5,36.6,22.4
Gujrat,Mahesana,77.9,88.7,67.1,99.7,99.2,90.8,42.1,86.3,28.2,45.6,92.7,17.7,59.1,53.8,44.5,21.1
Gujrat,Narmada,64.9,76.8,52.7,98.9,96.1,71.9,7.3,18.7,1.8,6.3,98.5,63,56.2,17.3,9.9,8
Gujrat,Navsari,78.2,84.7,71.9,99.8,97.2,86.4,33.7,32.4,16.1,19.5,95,43.1,41.5,36.8,35.3,30.5
Gujrat,Panch Mahals,67.4,82.2,52.8,99.1,98.1,83.3,20,16.4,7,19.3,99.4,33.4,88.7,17.7,27.7,14.8
Gujrat,Patan,64.2,77,51.5,96.6,97.4,82.4,35.5,89,7.1,23.9,94.4,34,57.4,28.2,36.4,11
Gujrat,Porbandar,64.6,74.5,54.4,98.6,97.6,87.4,31.6,55,6,47.4,96.5,45.1,43.3,43.4,44.2,20
Gujrat,Rajkot,69.6,79.5,59.1,99.5,100,95.2,37.5,76.2,16.7,50.4,95.3,24,53.8,56.8,56.5,40.7
Gujrat,Sabarkantha,70.5,83.9,57.4,99.3,96.6,86.4,29.7,58.3,12.3,29.4,97,49.8,73.3,28.2,30.9,19
Gujrat,Surat,70.5,77.9,63.6,99.3,99.4,85.8,35.7,37.6,25,25.6,98,40.7,40.7,42.3,35.1,33.3
Gujrat,Surendranagar,62.6,74.3,50.5,97.1,98.2,83,20.1,37.8,9.3,30.6,94.6,26.6,56.5,37.2,45.4,24
Gujrat,The Dangs,60.9,70.9,50.9,95.6,96,50.3,21.5,7.9,0.6,3.3,98.9,53.2,65,13.9,5.9,8.9
Gujrat,Vadodara,58.7,70.4,46.5,98.7,97.6,78.3,21.7,47.6,8.1,16.7,97.5,39.7,61.6,23.7,24.1,14.1
Gujrat,Valsad,75.7,83.1,67.8,99.5,99.7,89,34.9,17.2,18.1,27,95.4,40.6,55.6,48,37.4,33.4
Haryana,Ambala,75.8,83.7,66.8,99.4,99.1,92.5,37.1,62.7,17,45.7,96.9,15.1,36.6,64.9,39.6,31
Haryana,Bhiwani,71.3,84.5,57,99.4,100,90.8,37.6,49.9,10.1,48.3,99,19.6,62.2,50.6,49.3,16.2
Haryana,Faridabad,71.1,84.7,56.1,99.4,100,89.8,31.5,35.2,8.5,42,98.2,14.5,49.1,51.1,45.3,30.3
Haryana,Fatehabad,63.5,73,53.5,99.2,97.8,85.9,78.2,57.7,12,44.7,97.8,23.2,42.6,46.8,47.4,24.7
Haryana,Gurgaon,76.4,87.1,64.6,98.7,98.3,93.5,50.8,50.2,29.7,65.1,97.3,14.1,38.6,60.4,59.2,29.7
Haryana,Hisar,65.5,77.4,52.6,99,100,86.4,44.6,32.6,7.3,42.4,97.5,22.3,52.1,43.6,39.9,17.4
Haryana,Jhajjar,76.8,87.2,65.5,99.4,100,93.7,44.2,54.4,12.5,54.1,98.5,15,57.2,60.4,44.4,25.9
Haryana,Jind,67.7,79.3,55.3,99.5,99.3,95.4,34.7,28.1,4.8,30.5,99.6,30.5,60.2,52.6,43.4,17.1
Haryana,Kaithal,62,70.6,52.6,99.1,100,93.7,49.3,37.3,7,42.9,98.9,25.4,50,58.9,48.2,25.3
Haryana,Karnal,71.9,80.9,62.3,99.7,99.8,94.9,55.3,70.5,13.7,54.4,98.9,21.3,36.9,64.9,39.5,27.3
Haryana,Kurukshetra,72.4,80.3,63.7,99.6,99.1,92.5,54.7,77.4,14.5,52.9,97.3,20,33.2,55,33.3,27.7
Haryana,Mahendragarh,73.9,87.9,59.1,100,99.7,87.9,30.2,76.4,7.5,45,99.4,17.1,64.3,47.8,56.3,21.9
Haryana,Mewat,51.8,71.8,31.3,90.3,97.8,77,12.2,31.6,1.4,30.9,98.4,24.6,56.7,18.1,47,20
Haryana,Panchkula,75.3,83,67.4,97.5,98.7,91.5,43,87.2,22,64,97.3,15.9,42.3,67.1,46.5,30.7
Haryana,Panipat,73.4,83.5,62.2,99.9,100,95.8,64,34,11.2,52.2,97.2,18,47.2,58.1,41.2,24.2
Haryana,Rewari,77.7,91,63.6,100,100,93.1,37.9,61,15.3,61.6,99.7,21.2,59.6,59.9,60.5,35.5
Haryana,Rohtak,75.3,86.5,62.6,98.9,99.2,96.7,46.9,41.3,12.3,61,98.6,16.6,53.8,59.2,48,21.9
Haryana,Sirsa,64.2,73.6,54.1,99.3,97.9,81.5,94.4,86.6,9,33.3,98.2,23.6,43.5,46.6,51.2,27.8
Haryana,Sonipat,78.5,88.5,67.2,100,99.9,94.5,47,40.7,13.1,54,95.8,12.4,50.6,60.3,45.2,25.9
Haryana,Yamunanagar,71.6,80.2,62.1,100,100,91.2,24.5,44.6,10.1,51.7,97.8,21.3,40.4,57.4,36.8,28.7
Himachal Pradesh,Bilaspur,83.3,90.2,75.8,99.6,99.7,99.6,55.9,52.8,7.9,48.3,99.1,26,89,74.7,54.7,8.9
Himachal Pradesh,Chamba,71.1,83.1,58.3,99.4,99.1,97.2,26,81.7,7.4,26.4,99.2,45.6,90.2,56.2,37.9,4.1
Himachal Pradesh,Hamirpur,87.3,94.6,79.9,99.4,99.5,99.6,68.4,69.8,15.4,61.6,98.9,21.5,87.8,81.4,57.7,11.4
Himachal Pradesh,Kangra,84.1,91.1,76.5,100,100,99.4,31.5,67.7,18.2,41.4,98.6,30,77.7,72.2,48.3,14
Himachal Pradesh,Kinaur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Himachal Pradesh,Kullu,79.8,89.7,68.4,98.5,100,99,50.3,93,23.7,31.3,98.7,24,81,74.9,55.6,8.2
Himachal Pradesh,Lahul spith,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Himachal Pradesh,Mandi,78.6,88.1,68.6,100,99.7,97.3,73.4,88.9,12,42.2,99.1,24.4,85.8,64.5,45.9,5.7
